do_nms,iou_threshold,score_threshold,filter_too_big,correct,correct_box,incorrect,undetected
True,0.2,0.77,True,4,20,2,522
True,0.2,0.77,False,3,26,93,454
True,0.2,0.78,True,4,16,1,527
True,0.2,0.78,False,3,22,90,457
True,0.2,0.79,True,4,15,1,528
True,0.2,0.79,False,3,21,90,458
True,0.2,0.8,True,3,14,1,530
True,0.2,0.8,False,2,20,90,459
True,0.2,0.81,True,3,12,1,532
True,0.2,0.81,False,2,17,87,463
True,0.2,0.82,True,3,10,1,534
True,0.2,0.82,False,2,16,84,467
True,0.2,0.83,True,3,9,1,535
True,0.2,0.83,False,2,14,80,469
True,0.2,0.84,True,3,8,1,536
True,0.2,0.84,False,2,13,78,471
True,0.2,0.85,True,3,7,1,537
True,0.2,0.85,False,2,10,73,476
True,0.2,0.86,True,2,7,1,538
True,0.2,0.86,False,2,10,71,478
True,0.2,0.87,True,2,6,1,539
True,0.2,0.87,False,2,8,67,481
True,0.2,0.88,True,2,6,1,539
True,0.2,0.88,False,2,7,62,487
True,0.2,0.89,True,2,6,1,539
True,0.2,0.89,False,2,7,59,488
True,0.2,0.9,True,1,6,1,540
True,0.2,0.9,False,1,7,52,495
True,0.2,0.91,True,1,4,1,542
True,0.2,0.91,False,1,4,41,503
True,0.2,0.92,True,1,2,1,544
True,0.2,0.92,False,1,2,36,509
True,0.2,0.93,True,0,1,1,546
True,0.2,0.93,False,0,1,33,514
True,0.2,0.94,True,0,1,0,546
True,0.2,0.94,False,0,1,27,519
True,0.2,0.95,True,0,0,0,547
True,0.2,0.95,False,0,0,22,525
True,0.2,0.96,True,0,0,0,547
True,0.2,0.96,False,0,0,13,534
True,0.2,0.97,True,0,0,0,547
True,0.2,0.97,False,0,0,6,541
True,0.2,0.98,True,0,0,0,547
True,0.2,0.98,False,0,0,1,546
True,0.2,0.99,True,0,0,0,547
True,0.2,0.99,False,0,0,0,547
True,0.2,1.0,True,0,0,0,547
True,0.2,1.0,False,0,0,0,547
True,0.3,0.0,True,41,415,21638,90
True,0.3,0.0,False,38,417,28722,92
True,0.3,0.01,True,39,356,19046,149
True,0.3,0.01,False,36,360,24936,150
True,0.3,0.02,True,35,304,14693,202
True,0.3,0.02,False,32,306,19646,205
True,0.3,0.03,True,28,259,11033,251
True,0.3,0.03,False,24,263,15287,254
True,0.3,0.04,True,25,227,8304,283
True,0.3,0.04,False,20,233,11985,286
True,0.3,0.05,True,24,201,6305,308
True,0.3,0.05,False,19,208,9538,309
True,0.3,0.06,True,24,187,4871,319
True,0.3,0.06,False,19,198,7735,318
True,0.3,0.07,True,23,179,3800,329
True,0.3,0.07,False,18,189,6376,327
True,0.3,0.08,True,22,171,3043,336
True,0.3,0.08,False,17,181,5394,334
True,0.3,0.09,True,22,161,2443,346
True,0.3,0.09,False,17,173,4603,341
True,0.3,0.1,True,21,154,1946,357
True,0.3,0.1,False,16,164,3945,350
True,0.3,0.11,True,20,141,1563,373
True,0.3,0.11,False,15,149,3420,365
True,0.3,0.12,True,19,137,1293,378
True,0.3,0.12,False,15,144,3018,368
True,0.3,0.13,True,17,126,1099,391
True,0.3,0.13,False,13,136,2708,378
True,0.3,0.14,True,15,120,912,399
True,0.3,0.14,False,11,130,2417,385
True,0.3,0.15,True,13,114,776,407
True,0.3,0.15,False,10,127,2181,389
True,0.3,0.16,True,13,109,675,412
True,0.3,0.16,False,10,122,2003,393
True,0.3,0.17,True,12,105,567,416
True,0.3,0.17,False,9,117,1808,396
True,0.3,0.18,True,12,103,488,418
True,0.3,0.18,False,9,115,1655,398
True,0.3,0.19,True,12,101,413,419
True,0.3,0.19,False,9,114,1512,398
True,0.3,0.2,True,12,100,366,421
True,0.3,0.2,False,9,112,1401,399
True,0.3,0.21,True,12,98,325,425
True,0.3,0.21,False,9,110,1300,401
True,0.3,0.22,True,12,92,286,430
True,0.3,0.22,False,9,104,1204,406
True,0.3,0.23,True,12,85,254,438
True,0.3,0.23,False,9,98,1124,412
True,0.3,0.24,True,12,81,234,441
True,0.3,0.24,False,9,96,1058,414
True,0.3,0.25,True,12,80,207,445
True,0.3,0.25,False,9,96,991,414
True,0.3,0.26,True,11,78,184,448
True,0.3,0.26,False,8,94,934,415
True,0.3,0.27,True,11,78,166,448
True,0.3,0.27,False,8,94,870,415
True,0.3,0.28,True,11,78,152,450
True,0.3,0.28,False,8,93,818,416
True,0.3,0.29,True,11,77,144,451
True,0.3,0.29,False,8,90,782,416
True,0.3,0.3,True,11,76,135,453
True,0.3,0.3,False,8,88,746,417
True,0.3,0.31,True,11,74,121,455
True,0.3,0.31,False,8,86,702,418
True,0.3,0.32,True,10,72,111,458
True,0.3,0.32,False,7,85,673,420
True,0.3,0.33,True,10,69,100,463
True,0.3,0.33,False,7,82,626,422
True,0.3,0.34,True,10,69,95,463
True,0.3,0.34,False,7,82,588,422
True,0.3,0.35,True,9,68,88,466
True,0.3,0.35,False,6,80,554,423
True,0.3,0.36,True,9,66,87,468
True,0.3,0.36,False,6,78,528,425
True,0.3,0.37,True,9,65,80,468
True,0.3,0.37,False,6,77,485,425
True,0.3,0.38,True,9,62,74,471
